"","at","value","timestamp"
"1609","2013-06-25T06:18:43.605617Z",130767,2013-06-25 06:18:43
"1610","2013-06-25T06:20:43.609921Z",65351,2013-06-25 06:20:43
"1611","2013-06-25T06:22:43.619343Z",130767,2013-06-25 06:22:43
"1612","2013-06-25T06:24:43.626726Z",130767,2013-06-25 06:24:43
"1613","2013-06-25T06:26:43.636122Z",130767,2013-06-25 06:26:43
"1614","2013-06-25T06:28:43.644446Z",130767,2013-06-25 06:28:43
"1616","2013-06-25T06:32:43.660085Z",65351,2013-06-25 06:32:43
"1617","2013-06-25T06:34:43.664368Z",384,2013-06-25 06:34:43
"1618","2013-06-25T06:36:43.675934Z",18625,2013-06-25 06:36:43
"1619","2013-06-25T06:38:43.685798Z",21740,2013-06-25 06:38:43
"1620","2013-06-25T06:40:43.693766Z",26101,2013-06-25 06:40:43
"1621","2013-06-25T06:42:43.705792Z",43545,2013-06-25 06:42:43
"1622","2013-06-25T06:44:43.716695Z",26101,2013-06-25 06:44:43
"1623","2013-06-25T06:46:43.720927Z",21740,2013-06-25 06:46:43
"1624","2013-06-25T06:48:43.729469Z",21740,2013-06-25 06:48:43
"1625","2013-06-25T06:50:43.735379Z",26101,2013-06-25 06:50:43
"1626","2013-06-25T06:52:43.756379Z",21740,2013-06-25 06:52:43
"1627","2013-06-25T06:54:43.754558Z",21740,2013-06-25 06:54:43
"1628","2013-06-25T06:56:43.763920Z",16289,2013-06-25 06:56:43
"1629","2013-06-25T06:58:43.769531Z",16289,2013-06-25 06:58:43
"1630","2013-06-25T07:00:43.791097Z",14472,2013-06-25 07:00:43
"1631","2013-06-25T07:02:43.788548Z",14472,2013-06-25 07:02:43
"1632","2013-06-25T07:04:43.798536Z",11829,2013-06-25 07:04:43
"1633","2013-06-25T07:06:43.803941Z",13018,2013-06-25 07:06:43
"1634","2013-06-25T07:08:43.803072Z",262,2013-06-25 07:08:43
"1635","2013-06-25T07:10:43.822099Z",10837,2013-06-25 07:10:43
"1636","2013-06-25T07:12:43.831188Z",9999,2013-06-25 07:12:43
"1637","2013-06-25T07:14:43.827218Z",241,2013-06-25 07:14:43
"1638","2013-06-25T07:16:43.852340Z",8657,2013-06-25 07:16:43
"1639","2013-06-25T07:18:43.858965Z",8657,2013-06-25 07:18:43
"1640","2013-06-25T07:20:43.867866Z",8657,2013-06-25 07:20:43
"1641","2013-06-25T07:22:43.857203Z",226,2013-06-25 07:22:43
"1642","2013-06-25T07:24:43.881418Z",6476,2013-06-25 07:24:43
"1643","2013-06-25T07:26:43.889166Z",6821,2013-06-25 07:26:43
