"","at","value","timestamp"
"354","2013-06-23T11:47:14.543488Z",130767,2013-06-23 11:47:14
"355","2013-06-23T11:49:14.544002Z",130767,2013-06-23 11:49:14
"356","2013-06-23T11:51:14.553581Z",130767,2013-06-23 11:51:14
"358","2013-06-23T11:55:14.581411Z",581,2013-06-23 11:55:14
"359","2013-06-23T11:57:15.036638Z",130767,2013-06-23 11:57:15
"360","2013-06-23T11:59:14.591797Z",65351,2013-06-23 11:59:14
"361"," 2013-06-23T12:01:14.591726Z",65351,2013-06-23 12:01:14
"362","2013-06-23T12:03:14.605803Z",130767,2013-06-23 12:03:14
"364","2013-06-23T12:07:14.702167Z",65351,2013-06-23 12:07:14
"365","2013-06-23T12:09:15.234339Z",130767,2013-06-23 12:09:15
"366","2013-06-23T12:11:15.760497Z",65351,2013-06-23 12:11:15
"367","2013-06-23T12:13:14.686946Z",130767,2013-06-23 12:13:14
"371","2013-06-23T12:31:14.750797Z",1367,2013-06-23 12:31:14
"372","2013-06-23T12:33:14.807790Z",65351,2013-06-23 12:33:14
"373","2013-06-23T12:35:14.713100Z",130767,2013-06-23 12:35:14
"374","2013-06-23T12:37:14.751144Z",130767,2013-06-23 12:37:14
"376","2013-06-23T12:41:14.793301Z",65351,2013-06-23 12:41:14
"378","2013-06-23T12:45:14.745459Z",65351,2013-06-23 12:45:14
"382","2013-06-23T12:53:14.806142Z",130767,2013-06-23 12:53:14
"384","2013-06-23T12:57:14.836979Z",130767,2013-06-23 12:57:14
"387","2013-06-23T13:03:14.808260Z",130767,2013-06-23 13:03:14
"388","2013-06-23T13:05:14.818993Z",130767,2013-06-23 13:05:14
"389","2013-06-23T13:07:14.824494Z",65351,2013-06-23 13:07:14
"390","2013-06-23T13:09:14.832257Z",130767,2013-06-23 13:09:14
"391","2013-06-23T13:11:14.842827Z",777,2013-06-23 13:11:14
"392","2013-06-23T13:13:14.847061Z",130767,2013-06-23 13:13:14
"393","2013-06-23T13:15:14.853871Z",130767,2013-06-23 13:15:14
"396","2013-06-23T13:21:14.876344Z",1367,2013-06-23 13:21:14
"399","2013-06-23T13:27:14.895654Z",130767,2013-06-23 13:27:14
"400","2013-06-23T13:29:14.969123Z",130767,2013-06-23 13:29:14
"401","2013-06-23T13:31:14.913397Z",130767,2013-06-23 13:31:14
"403","2013-06-23T13:35:14.928605Z",130767,2013-06-23 13:35:14
"406","2013-06-23T13:41:14.954108Z",1367,2013-06-23 13:41:14
"407","2013-06-23T13:43:14.955701Z",1367,2013-06-23 13:43:14
"410","2013-06-23T13:49:14.976292Z",130767,2013-06-23 13:49:14
"411","2013-06-23T13:51:15.008827Z",65351,2013-06-23 13:51:15
"416","2013-06-23T14:01:15.020468Z",130767,2013-06-23 14:01:15
"419","2013-06-23T14:07:15.107568Z",65351,2013-06-23 14:07:15
"421","2013-06-23T14:11:15.264285Z",130767,2013-06-23 14:11:15
"422","2013-06-23T14:13:15.067394Z",130767,2013-06-23 14:13:15
"423","2013-06-23T14:15:15.068681Z",130767,2013-06-23 14:15:15
"425","2013-06-23T14:19:15.199310Z",130767,2013-06-23 14:19:15
"426","2013-06-23T14:21:15.096775Z",65351,2013-06-23 14:21:15
"427","2013-06-23T14:23:15.099317Z",130767,2013-06-23 14:23:15
"429","2013-06-23T14:27:15.113214Z",130767,2013-06-23 14:27:15
"432","2013-06-23T14:33:15.490213Z",130767,2013-06-23 14:33:15
"433","2013-06-23T14:35:15.406381Z",65351,2013-06-23 14:35:15
"439","2013-06-23T14:47:15.187516Z",130767,2013-06-23 14:47:15
"440","2013-06-23T14:49:15.197469Z",32643,2013-06-23 14:49:15
"441","2013-06-23T14:51:15.202836Z",130767,2013-06-23 14:51:15
"442","2013-06-23T14:53:15.214961Z",65351,2013-06-23 14:53:15
"443","2013-06-23T14:55:15.218994Z",130767,2013-06-23 14:55:15
"444","2013-06-23T14:57:15.222950Z",43545,2013-06-23 14:57:15
"447","2013-06-23T15:03:15.245567Z",130767,2013-06-23 15:03:15
"448","2013-06-23T15:05:15.254713Z",65351,2013-06-23 15:05:15
"449","2013-06-23T15:07:15.260385Z",43545,2013-06-23 15:07:15
"450","2013-06-23T15:09:15.268398Z",32643,2013-06-23 15:09:15
"451","2013-06-23T15:11:15.277338Z",43545,2013-06-23 15:11:15
"452","2013-06-23T15:13:15.285639Z",32643,2013-06-23 15:13:15
"453","2013-06-23T15:15:15.292428Z",43545,2013-06-23 15:15:15
"454","2013-06-23T15:17:15.300780Z",26101,2013-06-23 15:17:15
"455","2013-06-23T15:19:15.308496Z",43545,2013-06-23 15:19:15
"456","2013-06-23T15:21:15.317516Z",65351,2013-06-23 15:21:15
"457","2013-06-23T15:23:15.323134Z",65351,2013-06-23 15:23:15
"458","2013-06-23T15:25:15.331671Z",65351,2013-06-23 15:25:15
"459","2013-06-23T15:27:15.339214Z",6476,2013-06-23 15:27:15
"460","2013-06-23T15:29:15.344455Z",10837,2013-06-23 15:29:15
"461","2013-06-23T15:31:15.350513Z",581,2013-06-23 15:31:15
"462","2013-06-23T15:33:15.359884Z",777,2013-06-23 15:33:15
"463","2013-06-23T15:35:15.368040Z",65351,2013-06-23 15:35:15
"464","2013-06-23T15:37:15.377379Z",130767,2013-06-23 15:37:15
"465","2013-06-23T15:39:15.381885Z",26101,2013-06-23 15:39:15
"466","2013-06-23T15:41:15.393845Z",130767,2013-06-23 15:41:15
"467","2013-06-23T15:43:15.395246Z",65351,2013-06-23 15:43:15
"468","2013-06-23T15:45:15.406717Z",130767,2013-06-23 15:45:15
"469","2013-06-23T15:47:15.408301Z",130767,2013-06-23 15:47:15
"470","2013-06-23T15:49:15.417673Z",130767,2013-06-23 15:49:15
"471","2013-06-23T15:51:15.423416Z",1367,2013-06-23 15:51:15
"472","2013-06-23T15:53:15.437977Z",130767,2013-06-23 15:53:15
"473","2013-06-23T15:55:15.440364Z",130767,2013-06-23 15:55:15
"474","2013-06-23T15:57:15.454709Z",43545,2013-06-23 15:57:15
"475","2013-06-23T15:59:15.453286Z",65351,2013-06-23 15:59:15
"476","2013-06-23T16:01:15.464508Z",130767,2013-06-23 16:01:15
"478","2013-06-23T16:05:15.477053Z",130767,2013-06-23 16:05:15
"479","2013-06-23T16:07:15.489096Z",130767,2013-06-23 16:07:15
"480","2013-06-23T16:09:15.493648Z",65351,2013-06-23 16:09:15
"481","2013-06-23T16:11:15.497548Z",43545,2013-06-23 16:11:15
"482","2013-06-23T16:13:15.505739Z",65351,2013-06-23 16:13:15
"483","2013-06-23T16:15:15.517207Z",130767,2013-06-23 16:15:15
"485","2013-06-23T16:19:15.527549Z",130767,2013-06-23 16:19:15
"486","2013-06-23T16:21:15.535130Z",130767,2013-06-23 16:21:15
"487","2013-06-23T16:23:15.539857Z",130767,2013-06-23 16:23:15
"488","2013-06-23T16:25:15.548058Z",483,2013-06-23 16:25:15
"489","2013-06-23T16:27:15.555996Z",65351,2013-06-23 16:27:15
"490","2013-06-23T16:29:15.565533Z",130767,2013-06-23 16:29:15
"491","2013-06-23T16:31:15.571391Z",130767,2013-06-23 16:31:15
"492","2013-06-23T16:33:15.579698Z",130767,2013-06-23 16:33:15
"493","2013-06-23T16:35:15.590057Z",130767,2013-06-23 16:35:15
"494","2013-06-23T16:37:15.592938Z",65351,2013-06-23 16:37:15
"498","2013-06-23T16:45:15.624286Z",65351,2013-06-23 16:45:15
"499","2013-06-23T16:47:15.629520Z",130767,2013-06-23 16:47:15
"501","2013-06-23T16:51:15.643147Z",65351,2013-06-23 16:51:15
"502","2013-06-23T16:53:15.649404Z",43545,2013-06-23 16:53:15
"503","2013-06-23T16:55:15.659092Z",65351,2013-06-23 16:55:15
"504","2013-06-23T16:57:15.666358Z",1367,2013-06-23 16:57:15
"507","2013-06-23T17:03:15.684161Z",65351,2013-06-23 17:03:15
"508","2013-06-23T17:05:15.700738Z",130767,2013-06-23 17:05:15
"509","2013-06-23T17:07:15.707938Z",65351,2013-06-23 17:07:15
