"","at","value","timestamp"
"276","2013-06-17T09:10:14.679488Z",1284,2013-06-17 09:10:14
"277","2013-06-17T09:12:14.696347Z",1656,2013-06-17 09:12:14
"278","2013-06-17T09:14:14.699445Z",1327,2013-06-17 09:14:14
"279","2013-06-17T09:16:14.712133Z",1421,2013-06-17 09:16:14
"280","2013-06-17T09:18:14.727177Z",973,2013-06-17 09:18:14
"281","2013-06-17T09:20:14.726006Z",1727,2013-06-17 09:20:14
"282","2013-06-17T09:22:14.735815Z",1804,2013-06-17 09:22:14
"283","2013-06-17T09:24:14.747580Z",1193,2013-06-17 09:24:14
"284","2013-06-17T09:26:14.756789Z",2080,2013-06-17 09:26:14
"285","2013-06-17T09:28:14.762581Z",941,2013-06-17 09:28:14
"286","2013-06-17T09:30:14.773749Z",682,2013-06-17 09:30:14
"287","2013-06-17T09:32:14.777737Z",704,2013-06-17 09:32:14
"288","2013-06-17T09:34:14.794899Z",1082,2013-06-17 09:34:14
"289","2013-06-17T09:36:14.797799Z",1859,2013-06-17 09:36:14
"290","2013-06-17T09:38:14.814842Z",1421,2013-06-17 09:38:14
"291","2013-06-17T09:40:14.822442Z",1831,2013-06-17 09:40:14
"292","2013-06-17T09:42:14.828937Z",1113,2013-06-17 09:42:14
"293","2013-06-17T09:44:14.839231Z",1063,2013-06-17 09:44:14
"294","2013-06-17T09:46:14.846170Z",1859,2013-06-17 09:46:14
"295","2013-06-17T09:48:14.858820Z",2451,2013-06-17 09:48:14
"296","2013-06-17T09:50:14.865436Z",1025,2013-06-17 09:50:14
"297","2013-06-17T09:52:14.877874Z",1082,2013-06-17 09:52:14
"298","2013-06-17T09:54:14.891680Z",807,2013-06-17 09:54:14
"299","2013-06-17T09:56:15.075737Z",1053,2013-06-17 09:56:15
"300","2013-06-17T09:58:14.919106Z",795,2013-06-17 09:58:14
"301","2013-06-17T10:00:14.919183Z",911,2013-06-17 10:00:14
"302","2013-06-17T10:02:16.225810Z",1372,2013-06-17 10:02:16
"303","2013-06-17T10:04:14.940260Z",2080,2013-06-17 10:04:14
"304","2013-06-17T10:06:14.947438Z",957,2013-06-17 10:06:14
"305","2013-06-17T10:08:14.949342Z",1217,2013-06-17 10:08:14
"306","2013-06-17T10:10:14.962666Z",990,2013-06-17 10:10:14
"307","2013-06-17T10:12:14.974585Z",758,2013-06-17 10:12:14
"308","2013-06-17T10:14:14.979998Z",957,2013-06-17 10:14:14
"309","2013-06-17T10:16:14.995069Z",1550,2013-06-17 10:16:14
"310","2013-06-17T10:18:15.004633Z",1025,2013-06-17 10:18:15
"311","2013-06-17T10:20:15.008286Z",876,2013-06-17 10:20:15
"312","2013-06-17T10:22:15.020539Z",911,2013-06-17 10:22:15
"313","2013-06-17T10:24:15.035536Z",819,2013-06-17 10:24:15
"314","2013-06-17T10:26:15.038814Z",837,2013-06-17 10:26:15
"315","2013-06-17T10:28:15.049074Z",1007,2013-06-17 10:28:15
"316","2013-06-17T10:30:15.060609Z",713,2013-06-17 10:30:15
"317","2013-06-17T10:32:15.067424Z",990,2013-06-17 10:32:15
"318","2013-06-17T10:34:15.078313Z",918,2013-06-17 10:34:15
"319","2013-06-17T10:36:15.089727Z",650,2013-06-17 10:36:15
"320","2013-06-17T10:38:15.105951Z",768,2013-06-17 10:38:15
"321","2013-06-17T10:40:15.106553Z",779,2013-06-17 10:40:15
"322","2013-06-17T10:42:15.112524Z",595,2013-06-17 10:42:15
"323","2013-06-17T10:44:15.099604Z",11,2013-06-17 10:44:15
"324","2013-06-17T10:46:15.133390Z",819,2013-06-17 10:46:15
"325","2013-06-17T10:48:15.146918Z",801,2013-06-17 10:48:15
"326","2013-06-17T10:50:15.152684Z",718,2013-06-17 10:50:15
"327","2013-06-17T10:52:15.171519Z",691,2013-06-17 10:52:15
"328","2013-06-17T10:54:15.172376Z",687,2013-06-17 10:54:15
"329","2013-06-17T10:56:15.177787Z",941,2013-06-17 10:56:15
"330","2013-06-17T10:58:15.201217Z",763,2013-06-17 10:58:15
"331","2013-06-17T11:00:15.190622Z",695,2013-06-17 11:00:15
"332","2013-06-17T11:02:15.214331Z",784,2013-06-17 11:02:15
"333","2013-06-17T11:04:15.214979Z",819,2013-06-17 11:04:15
"334","2013-06-17T11:06:15.219952Z",1169,2013-06-17 11:06:15
"335","2013-06-17T11:08:15.214708Z",17,2013-06-17 11:08:15
"336","2013-06-17T11:10:15.244174Z",773,2013-06-17 11:10:15
"337","2013-06-17T11:12:15.249986Z",709,2013-06-17 11:12:15
"338","2013-06-17T11:14:15.264230Z",638,2013-06-17 11:14:15
"339","2013-06-17T11:16:15.274470Z",742,2013-06-17 11:16:15
"340","2013-06-17T11:18:15.290966Z",790,2013-06-17 11:18:15
"341","2013-06-17T11:20:15.292849Z",752,2013-06-17 11:20:15
"342","2013-06-17T11:22:15.304361Z",682,2013-06-17 11:22:15
"343","2013-06-17T11:24:15.311921Z",837,2013-06-17 11:24:15
"344","2013-06-17T11:26:15.899352Z",850,2013-06-17 11:26:15
"345","2013-06-17T11:28:15.306952Z",15,2013-06-17 11:28:15
"346","2013-06-17T11:30:15.344768Z",1124,2013-06-17 11:30:15
"347","2013-06-17T11:32:15.349543Z",918,2013-06-17 11:32:15
"348","2013-06-17T11:34:15.358152Z",795,2013-06-17 11:34:15
"349","2013-06-17T11:36:15.365879Z",904,2013-06-17 11:36:15
"350","2013-06-17T11:38:15.380987Z",807,2013-06-17 11:38:15
"351","2013-06-17T11:40:15.394892Z",1157,2013-06-17 11:40:15
"352","2013-06-17T11:42:15.400796Z",990,2013-06-17 11:42:15
"353","2013-06-17T11:44:15.401720Z",1016,2013-06-17 11:44:15
"354","2013-06-17T11:46:15.422877Z",1146,2013-06-17 11:46:15
"355","2013-06-17T11:48:15.429428Z",1169,2013-06-17 11:48:15
"356","2013-06-17T11:50:15.440761Z",1025,2013-06-17 11:50:15
"357","2013-06-17T11:52:15.445691Z",784,2013-06-17 11:52:15
"358","2013-06-17T11:54:15.438049Z",14,2013-06-17 11:54:15
"359","2013-06-17T11:56:15.465404Z",837,2013-06-17 11:56:15
"360","2013-06-17T11:58:15.479381Z",819,2013-06-17 11:58:15
"361"," 2013-06-17T12:00:15.492061Z",658,2013-06-17 12:00:15
"362","2013-06-17T12:02:15.478247Z",11,2013-06-17 12:02:15
"363","2013-06-17T12:04:15.510502Z",662,2013-06-17 12:04:15
"364","2013-06-17T12:06:15.521428Z",779,2013-06-17 12:06:15
"365","2013-06-17T12:08:15.509259Z",12,2013-06-17 12:08:15
"366","2013-06-17T12:10:15.540330Z",613,2013-06-17 12:10:15
